Visual Apparent Magnitude of the Star,Distance Between the Star and the Earth,Standard Error of star ad earth,B-V color index,Spectral type,Absolute Magnitude of the Star,star
8.02,7.22,0.89,0.686,G2Vw...,17.312687,Gaint
6.48,24.92,1.05,0.51,F6III,18.46274,Dwarf
6.26,5.71,0.74,0.046,A0V,15.04318,Gaint
8.02,2.54,0.71,0.038,A1IV,15.044168,Gaint
8.54,4.55,1.24,1.205,K2III,16.830057,Dwarf
9.3,8.92,1.5,0.626,G0V,19.051825,Gaint
8.86,3.5,1.19,0.513,F3/F5V,16.580341,Gaint
8.57,1.96,0.86,0.839,F6/F7II,15.0312805,Dwarf
7.09,7.85,1.01,1.301,K2/K3IIICN.,16.564348,Dwarf
3.6,28.48,0.77,1.065,K0III,15.8727,Dwarf
8.89,2.75,1.37,1.094,K1III,16.086664,Dwarf
7.33,10.92,0.64,0.444,F2V,17.521114,Gaint
8.74,2.9,0.82,0.971,G8III,16.05199,Dwarf
9.09,8.34,1.18,0.503,F7V,18.695831,Gaint
8.78,2,0.73,1.084,K0III/IV,15.285151,Gaint
5.97,3.97,0.82,1.592,K4II SB,13.963953,Dwarf
10.78,20.12,1.9,1.17,K7V,22.29814,Gaint
8.87,11.64,1.3,0.586,G1IV/V,19.199764,Gaint
8.94,2.13,0.8,0.954,G6IV,15.581898,Gaint
7.93,9.75,0.66,1.062,K2VCN...,17.875023,Gaint
8.35,4.14,1.12,1.135,K0III,16.435001,Dwarf
6.85,2.55,0.84,1.669,M1/M2III,13.8827,Dwarf
9.32,8.04,1.6,0.876,G8V,18.84628,Gaint
9.81,0.5,1.49,1.09,K0III,13.30485,Dwarf
8.86,2.66,1.18,1.264,K2III,15.984408,Dwarf
10.06,6.5,1.22,0.677,G6/G8V,19.124569,Gaint
8.25,3.02,1.18,1.51,K4III,15.650035,Dwarf
6.34,40.79,0.86,0.708,G5V,19.392769,Gaint
3.17,14.14,0.88,-0.107,B8.5III,13.922247,Dwarf
8.96,5.29,1.27,0.747,K0III+...,17.577278,Dwarf
9.6,5.74,1.31,0.46,F6V,18.39456,Gaint
6.79,5.24,0.78,0.141,A7V,15.386657,Gaint
7.05,8.39,0.86,0.314,A2V+...,16.66881,Gaint
7.53,5.03,0.57,-0.069,B9V,16.03784,Gaint
9.06,3.86,0.85,0.545,F8IV,16.992937,Gaint
9.92,12.36,4.13,0.838,G8V,20.380093,Gaint
8.4,18.9,1.24,0.633,G1V,19.782309,Gaint
9.68,2.18,0.86,0.056,B9.5V,16.372284,Gaint
8.41,3.6,1.01,0.977,K0II,16.191513,Dwarf
6.28,12.88,0.5,0.887,K2III,16.829578,Dwarf
8.74,4.19,1.01,0.18,A2/A3V,16.85107,Gaint
8.07,3.2,0.89,0.004,B8II/III,15.595749,Dwarf
8.22,11.34,2.3,0.59,G1V,18.493065,Gaint
8.95,0.45,1.78,1.198,M7/8III,12.216063,Dwarf
9.87,4.11,2.38,0.503,F2V,17.939209,Gaint
8.15,5.48,0.96,1.077,K0III,16.843903,Dwarf
9.09,0.09,1.29,1.451,M4/M5III,8.861213,Dwarf
6.46,5.74,0.77,0.172,A3V,15.2545595,Gaint
7.04,7.5,0.84,1.06,K1III,16.415306,Dwarf
8.26,6.18,1.15,0.35,F0IV/V,17.214943,Gaint
6.93,5.75,0.54,1.034,K1III,15.72834,Dwarf
7.76,9.41,1.02,0.331,F2IV,17.627949,Gaint
7.82,2.8,1.05,1.393,K3III,15.05579,Dwarf
8.81,1.42,1.08,0.934,G5III,14.571442,Dwarf
5.44,7.66,0.71,1.162,G9III,14.861143,Dwarf
9.33,1.73,1.31,-0.011,B8II/III,15.52023,Dwarf
6.92,0.4,0.64,0.11,B1Iab,9.9303,Dwarf
9.5,18.1,1.47,0.931,K1V,20.788393,Gaint
7.95,29.35,0.95,0.755,K0V,20.28804,Gaint
8.83,2.93,1.48,0.151,B8V,16.164337,Gaint
8.44,10.16,1.13,0.916,K0III,18.474468,Dwarf
7.65,4.41,0.91,1.166,K1III,15.872192,Dwarf
8.03,22.67,1.48,0.67,G8IV/V+...,19.807259,Gaint
8.41,2.78,1.17,1.082,K0III,15.630224,Dwarf
6.4,5.34,0.78,1.016,K0III,15.037706,Dwarf
6.84,2.7,0.78,1.009,B7Ia,13.9968195,Dwarf
7.78,-0.11,0.89,0.008,B8II,7.9869637,Dwarf
8.04,4.43,1.02,1.187,K2III,16.272018,Dwarf
7.29,22.05,0.79,0.59,G0/G1V,19.007042,Gaint
7.26,2.44,0.74,-0.115,B6V,14.19695,Gaint
9.35,1.76,2.2,0.445,A9IV/V,15.577564,Gaint
6.14,3.43,0.79,0.059,A4III,13.81647,Dwarf
10.13,6,1.74,0.511,F2IV/V,19.020756,Gaint
8.37,7.47,0.86,0.305,A8V,17.736603,Gaint
5.71,9.85,0.85,1.007,G6III,15.677181,Dwarf
9.41,11.76,1.7,0.69,G5V,19.762037,Gaint
5.4,29.05,1.29,0.605,F9V,17.71573,Gaint
8.17,4.05,1.05,0.048,A0V,16.207275,Gaint
9.1,0.76,1.18,1.56,M0V,13.504068,Gaint
8.26,5.25,1.12,0.483,F3V,16.860798,Gaint
8.29,2.45,1.11,1.187,F2IV,15.23583,Gaint
9.07,0.73,1.65,0.22,A2/3IIIs:,13.386614,Dwarf
8.98,2.56,0.87,0.122,B8/B9V,16.021198,Gaint
7.1,6.64,0.85,1.02,K0III,16.21084,Dwarf
9.27,8.89,1.01,0.648,G6V,19.01451,Gaint
7.26,5.48,0.82,1.061,K0III,15.953903,Dwarf
8.72,0.39,3.38,1.543,K5/M0III:,11.6753235,Dwarf
9.15,5.75,1.4,0.537,F5V,17.94834,Gaint
5.99,10.26,0.51,1.088,K0III,16.045738,Dwarf
7.01,2.84,0.72,0.714,F8II/III,14.276592,Dwarf
8.44,12.46,1.09,0.475,F5V,18.917591,Gaint
9.58,3.99,0.86,0.462,F3/F5V,17.584866,Gaint
9.19,10.12,1.2,0.618,G2/G3V,19.2159,Gaint
9.09,15.54,0.79,0.64,G6V,20.047256,Gaint
8.93,7.55,1.12,0.618,G1/G2V,18.319736,Gaint
8.39,1.41,1.12,1.26,G8III,14.136096,Dwarf
8.87,3.51,1.25,1.1,K1III,16.596535,Dwarf
8.49,1.27,0.94,-0.041,B8/B9V,14.009018,Gaint
7.92,55.53,1.08,0.94,K2V,21.64264,Gaint
9.27,2.69,0.88,0.094,A0V,16.418762,Gaint
8.71,5.11,1.22,0.458,F3IV/V,17.252106,Gaint
9.06,6,1.23,0.396,F2V,17.950756,Gaint
7.38,4.12,0.91,0.996,K0III,15.454486,Dwarf
9.85,11,1.02,0.7,G6IV/V,20.056965,Gaint
8.39,4.51,0.96,0.33,A3III,16.660883,Dwarf
6.93,0.92,0.82,0.22,A2III,11.7489395,Dwarf
8.29,4.81,1.24,1.165,K1III,16.700726,Dwarf
9.8,14.34,1.55,0.807,K0V,20.582747,Gaint
7.12,2.79,0.78,1.43,K4III,14.348021,Dwarf
7.6,2.93,0.82,1.291,K2III,14.934338,Dwarf
8.32,9.96,1.11,0.397,F3IV/V,18.311296,Gaint
6.11,8.32,0.86,1.156,K1III,15.710617,Dwarf
7.36,1.59,0.96,-0.015,F5V,13.366985,Gaint
6.6,4.23,0.78,0.94,G8II/III,14.731703,Dwarf
8.04,8.25,0.87,0.476,F5V,17.622269,Gaint
8.56,2.8,0.92,1.011,K0III,15.795791,Dwarf
9.52,8.61,1.44,0.482,F6IV/V,19.195015,Gaint
6.59,5.46,0.75,1.055,K0/K1II/III,15.275963,Dwarf
8.63,19.1,1.06,0.651,G5V,20.035168,Gaint
9.11,1.76,0.83,1.378,K2III,15.3375635,Dwarf
9.47,0.65,1.24,0.16,B9.5III,13.534567,Dwarf
7.2,2.02,1.07,1.393,G8II,13.726757,Dwarf
8.5,0.51,1.07,1.009,G8III,12.037851,Dwarf
7.56,3.85,1.21,1.274,K1III,15.487304,Dwarf
8.18,1.31,1.09,-0.133,B7/B8II,13.766357,Dwarf
7.71,2.3,1.31,1.436,K3III,14.518639,Dwarf
8.02,2.78,1.06,1.279,K0/K1III,15.240225,Dwarf
8.87,7.58,1.05,0.828,G8/K0V,18.268345,Gaint
7.68,5.63,0.96,1.337,K0III,16.432543,Dwarf
10.3,0.57,1.69,1.42,K3III,14.079374,Dwarf
4.63,4.53,0.52,-0.228,B1.5Vp,12.910491,Gaint
9.27,8.88,1.65,0.6,G1V,19.012066,Gaint
8.45,3.45,0.92,0.964,G8III,16.139095,Dwarf
5.76,2.52,0.93,0.67,F8II,12.767003,Dwarf
8.76,7.13,0.74,0.43,F3V,18.025448,Gaint
1.98,6.53,0.66,-0.24,B1II/III,11.054565,Dwarf
5.78,11.29,0.92,1.084,K0III,16.04347,Dwarf
9.02,2.44,0.8,1.292,K2/K3III,15.95695,Dwarf
8.21,1.97,0.98,1.557,K5III,14.682331,Dwarf
9.49,10,0.89,0.714,G5V,19.49,Gaint
7.82,2.47,0.91,-0.089,B8III,14.783485,Dwarf
6.35,7.75,1.05,1.032,G9III,15.796509,Dwarf
6.6,13.23,0.97,0.556,F7V,17.2078,Gaint
8.72,3.51,1.3,1.331,K2III,16.446537,Dwarf
8.15,5.75,1.38,0.94,G8III,16.94834,Dwarf
7.16,13.71,1.08,0.596,G1/G2V,17.845188,Gaint
9.14,3.47,1.41,1.089,K0IV,16.841648,Gaint
5.55,1.56,0.75,-0.096,B0Iab,11.515623,Dwarf
5.45,10.45,0.81,0.966,G8III,15.545582,Dwarf
8.97,-0.12,1.2,1.314,K3III,9.365907,Dwarf
8.26,0.93,0.78,-0.083,B8/B9IV,13.102415,Gaint
8.27,1.87,0.77,1.608,M1III,14.629209,Dwarf
6.86,6.96,0.78,0.893,G8IV,16.073046,Gaint
7.43,2.32,0.75,1.442,K4III,14.25744,Dwarf
8.9,10.37,1.34,0.581,F6/F7V,18.978893,Gaint
9.08,2.88,1.78,0.673,G1/G2V,16.376963,Gaint
9.27,5.06,1.56,0.767,G6V,17.790752,Gaint
6.11,9,1.26,0.143,A3V,15.881212,Gaint
8.6,4.23,1.32,1.346,K2III,16.731703,Dwarf
9.4,1.1,0.84,-0.059,B8/B9V,14.606963,Gaint
7.43,23.05,0.7,0.742,G6IV-V,19.243355,Gaint
7.6,12.43,0.6,0.401,F0/F2V,18.072355,Gaint
9.08,4.73,1.34,0.798,G5IV,17.454306,Gaint
8.98,1.88,1.12,0.94,G8V,15.350789,Gaint
8.34,4.21,0.85,1.1,K0III,16.46141,Dwarf
6.05,1.75,0.77,1.649,K4/K5III,12.26519,Dwarf
8.97,1.16,1.48,1.054,G8/K0III,14.29229,Dwarf
8.3,2.67,0.71,1.331,K2III,15.432556,Dwarf
7.89,2.62,0.92,1.068,K1III,14.981506,Dwarf
8.46,3.09,1.25,1.158,G8III,15.909793,Dwarf
9.53,3.02,1.42,0.47,F2V,16.930035,Gaint
8.4,2.16,0.63,0.056,B8V,15.0722685,Gaint
9.29,2.71,0.83,0.282,A5V,16.454845,Gaint
10,1.12,0.97,0.182,A2V,15.24609,Gaint
8.54,3.51,0.77,1.041,K1III,16.266537,Dwarf
7.51,3.8,0.85,1.416,K3III,15.408918,Dwarf
5.52,12.17,1.02,1.167,K1/K2III,15.946453,Dwarf
7.62,3.07,1.13,1.658,K5III,15.055692,Dwarf
4.36,9.23,0.83,1.367,K3III,14.186008,Dwarf
7.86,4.23,0.67,0.405,F3IV,15.991703,Gaint
10.35,26.69,1.84,1.202,K7V:,22.481743,Gaint
7.15,-0.35,0.75,1.052,G2Ib,9.87034,Dwarf
8.32,4.36,1.82,1.176,K1III,16.517433,Dwarf
8.94,2.01,1.44,0.92,G6III,15.45598,Dwarf
6.37,17.91,0.72,0.44,F3IV,17.635479,Gaint
8.99,3.8,0.91,0.997,K0III,16.888918,Dwarf
9.73,3.29,1.78,0.57,O9V,17.315979,Gaint
8.7,2.54,0.78,1.404,K1III,15.724169,Dwarf
7.75,0.06,1.12,1.537,K4III,6.6407566,Dwarf
5.48,9.37,0.75,0.475,F6II-III,15.338697,Dwarf
5.68,19.27,0.6,0.36,F1III-IV,17.104408,Gaint
7.91,4.83,1.06,1.141,G8III,16.329735,Dwarf
7.94,7.38,0.87,1.136,K1III,17.280281,Dwarf
9.62,-0.77,1.48,1.641,K4/K5III,14.052454,Dwarf
7.84,5.77,1.07,0.221,A4III,16.64588,Dwarf
9.12,16.64,1.27,0.6,G5V,20.225765,Gaint
7.6,4.55,0.66,0.145,A3V,15.890057,Gaint
7.58,2.78,0.66,1.433,K3III,14.800224,Dwarf
7.86,5.31,0.65,0.402,F5III,16.485474,Dwarf
6.81,7.03,1.12,1.022,K0III,16.044777,Dwarf
8.53,3.03,1.11,0.827,G8III,15.937213,Dwarf
7.31,4.14,0.7,1.446,K4III,15.395002,Dwarf
9.05,3.22,1.99,1.1,G8/K0III,16.58928,Dwarf
7.35,13.26,0.6,0.429,F2V,17.962717,Gaint
7.77,2.96,0.68,1.167,K0III,15.126459,Dwarf
8.17,4.05,0.86,-0.063,B9III/IV,16.207275,Gaint
7.57,1.16,0.63,0.752,F8II,12.89229,Dwarf
8.67,4.13,0.86,1.159,K1III:,16.74975,Dwarf
9.34,3.99,1.52,0.553,F5IV,17.344864,Gaint
8.66,14.2,1.13,0.581,G2V,19.421442,Gaint
8.4,1.63,0.99,1.382,K2III,14.4609375,Dwarf
5.44,8.65,0.82,0.941,G8III,15.12508,Dwarf
7.2,5.88,0.87,0.016,A0V,16.046886,Gaint
8.93,10.93,1.2,0.574,F8V,19.1231,Gaint
8.56,5.14,1.41,0.896,G8IV,17.114815,Gaint
6.1,9.79,0.86,0.295,F0V:,16.053913,Gaint
8.19,1.78,0.77,1.332,K2III,14.4421,Dwarf
6.99,8.35,1,0.03,A1V,16.59843,Gaint
3.32,40.05,0.6,0.077,A3Vvar,16.333012,Gaint
7.69,1.02,0.98,1.004,G8III-IV,12.733001,Gaint
9.01,2,0.98,1.17,K1III,15.51515,Dwarf
8.94,1.62,1.18,0.99,K0III,14.987575,Dwarf
9.66,13.36,1.51,0.808,K1III,20.289032,Dwarf
7.21,0.71,0.86,0.691,F2/F3II,11.466291,Dwarf
7.44,12.65,0.93,0.403,F2/F3V,17.950453,Gaint
9.3,4.01,1.42,1.103,K1/K2III,17.315723,Dwarf
6.89,16,0.53,0.328,F0III,17.9106,Dwarf
5.07,14.22,0.98,1.13,K2III,15.834499,Dwarf
8.45,1.04,0.79,1.25,K1III,13.535167,Dwarf
5.71,18.48,0.74,0.454,F5V,17.04351,Gaint
9.37,34.75,1.5,1.211,K2:V,22.074774,Gaint
6.28,0.7,0.63,0.473,A3Iae,10.50549,Dwarf
6.17,8.92,1.06,1.216,K1III,15.921824,Dwarf
9.09,1.94,0.75,-0.054,B8/B9V,15.529009,Gaint
7.99,2.93,1,0.21,A3III,15.324338,Dwarf
5.12,15.3,0.81,0.016,B9/B9.5V,16.043457,Gaint
8.86,0.55,1.42,1.091,K0III,12.561813,Dwarf
5.59,61.76,0.51,0.573,G2V...,19.543537,Gaint
5.77,13.79,0.68,0.137,A4V+...,16.467821,Gaint
5.49,12.67,0.75,0.02,A0Vn,16.003883,Gaint
6.91,3.56,0.78,1.249,K2III,14.66725,Dwarf
8.55,2.88,1.31,1.1,K0III,15.846963,Dwarf
7.97,0.25,1.05,1.535,K4/K5III,9.9597,Dwarf
7.21,6.46,1.65,0.986,K0III,16.261162,Dwarf
8.9,1.77,0.75,0.953,G5IV,15.139866,Gaint
5.38,7.87,1.05,-0.011,B5V,14.859874,Gaint
6.19,9.66,0.86,0.827,G6III/IV,16.114885,Gaint
8.04,53.3,1.05,1.074,K3V,21.673637,Gaint
8.74,3.12,0.78,-0.052,B8IV,16.210773,Gaint
8.84,6.94,1.23,0.427,F3V,18.046799,Gaint
6.1,3.82,0.92,0.124,B8II/III,14.010317,Dwarf
8.23,2.83,0.93,1.032,G8III,15.488932,Dwarf
8.54,11.02,1.25,0.603,G2V,18.750908,Gaint
7.77,1.45,0.97,1.678,M1III,13.576839,Dwarf
7.1,6.64,0.55,1.096,K0III,16.21084,Dwarf
7.84,12.86,0.97,0.393,F2IV,18.386206,Gaint
9.76,3.56,1.14,0.468,F3Vp...,17.51725,Gaint
7.85,4.28,0.79,0.362,A9IV,16.00722,Gaint
7.64,1.23,0.78,0.934,G6III,13.089525,Dwarf
8.82,0.21,0.93,1.183,K0/K1III,10.431096,Dwarf
6.72,2.89,0.8,-0.069,B9III,14.024489,Dwarf
8.57,4.31,0.79,1.088,K1III,16.742386,Dwarf
7.63,3.88,1.18,0.05,B9III,15.57416,Dwarf
9.08,8.08,0.77,0.681,G5IV/V,18.617058,Gaint
3.96,8.62,0.95,-0.085,B9V,13.637536,Gaint
10.27,1.3,1.91,1.077,G9III,15.839717,Dwarf
8.56,3.72,1.19,0.677,GIII+...,16.412716,Dwarf
6.09,24.47,0.56,0.876,G8IV,18.033169,Gaint
7.74,3.01,1.03,1.378,K1III,15.132833,Dwarf
7.64,13.13,1.34,1.068,K1Vp,18.231323,Gaint
8.99,1.19,1.27,0.147,B9III,14.367735,Dwarf
9.19,6.16,1.15,0.635,G2Vw...,18.137903,Gaint
9.18,29.71,2.97,1.13,K4V,21.544514,Gaint
7.59,4.91,0.69,0.348,A9V,16.045408,Gaint
7.77,1.4,1.41,1.275,M3.5-8.5IIIe,13.500641,Dwarf
7.59,6.83,1.55,0.352,F3V,16.762104,Gaint
7.36,5.35,1,0.272,A3IV/V,16.001768,Gaint
6.82,0.97,1.22,0.019,B8III,11.753859,Dwarf
9.79,-0.45,1.61,0.471,F3V,13.056063,Gaint
7.09,3.21,0.83,-0.007,A0V,14.622525,Gaint
5.46,5.42,0.82,1.668,M0III,14.129996,Dwarf
4.77,21.24,2.05,0.139,A4V,16.405773,Gaint
8.92,2.57,1.25,1.449,K2III,15.969666,Dwarf
7.78,6.6,0.91,0.125,A1V,16.87772,Gaint
7.54,4.41,0.98,1.068,K0II,15.762193,Dwarf
9.8,8.18,1.32,0.81,G8/K0V,19.363766,Gaint
9.81,0.69,2.11,0.268,F0V,14.004246,Gaint
7.43,2.5,0.9,0.05,B2IV,14.419701,Gaint
7.34,4.34,0.77,-0.061,B8V,15.527449,Gaint
8.4,10.48,1.17,0.627,G1/G2V,18.501806,Gaint
9.37,18.92,1.44,0.866,K1V,20.754606,Gaint
9.32,2.92,1.13,1.232,K2III,16.646914,Dwarf
7.43,7.5,0.63,0.885,G8/K0III,16.805305,Dwarf
8.75,22.58,1.3,0.746,G8V,20.51862,Gaint
9.09,1.53,1.29,1.17,K1III,15.013457,Dwarf
8.56,3.52,1.85,0.886,G5III,16.292713,Dwarf
8.56,10.86,1.21,0.625,G3V,18.73915,Gaint
7.2,4.15,0.69,0.982,G8III,15.29024,Dwarf
8.94,2.09,1.16,1.109,K1III,15.540731,Dwarf
8.1,3.08,1.05,1.565,K5III,15.542753,Dwarf
8.02,2.66,0.72,0.931,G8III,15.144409,Dwarf
8.51,1.33,1.18,0.289,A7V,14.129259,Gaint
8.81,-0.16,1.26,1.367,K3III,9.830601,Dwarf
9.21,7.08,3.04,0.927,K1III,18.460167,Dwarf
9.71,4.88,1.55,0.648,G2/G3V,18.1521,Gaint
9.91,0.5,1.74,0.906,F3/F5V,13.40485,Gaint
7.8,2.69,0.95,1.205,K2III,14.948762,Dwarf
6.87,2.09,0.61,1.51,K3III,13.470732,Dwarf
6.65,1.58,0.84,1.571,M3/M4III,12.643286,Dwarf
7.75,2.51,0.64,-0.087,B7V,14.748368,Gaint
8.61,1.23,0.74,1.538,K3III,14.0595255,Dwarf
2.94,37.11,0.69,-0.012,B9.5V,15.787455,Gaint
7.97,5.16,0.94,1.035,G8/K0IV,16.533249,Gaint
8.61,2.46,1.19,1.179,K0III,15.564675,Dwarf
5.62,22.31,0.92,0.345,F2IV,17.362497,Gaint
7.65,6.09,1.51,0.322,A5IV/V,16.573086,Gaint
7.31,3.39,0.9,0.002,B3V,14.960999,Gaint
8.77,3.25,1.04,1.259,K2III,16.329418,Dwarf
7.97,4.81,1,-0.008,B8II/III,16.380726,Dwarf
8.31,2.3,0.68,-0.002,A0V,15.118639,Gaint
9.09,1.78,0.89,-0.015,B8V,15.3421,Gaint
7.2,2.35,0.57,1.566,K3/K4III,14.05534,Dwarf
8.35,2.32,0.93,1.483,K3/K4III,15.177441,Dwarf
9.15,2.06,0.84,1.15,K0III,15.719336,Dwarf
6.86,-0.5,0.82,1.989,K5III,10.35485,Dwarf
6.64,1.22,1.09,-0.119,B6III,12.071799,Dwarf
9.06,3.15,1.02,-0.098,B9III:,16.551554,Dwarf
8.65,1.42,1.19,1.15,G9III,14.411442,Dwarf
7.51,5.04,0.71,0.284,A5IV/V,16.022152,Gaint
6.92,1.66,0.99,0.12,B9III,13.02054,Dwarf
7.26,6.87,0.89,1.113,K0III,16.444784,Dwarf
9.15,1.09,1.35,0.615,F8V,14.3371315,Gaint
7.24,7.02,0.69,0.087,A2V,16.471685,Gaint
5.78,0.34,0.73,0.132,O8Iab+...,8.437395,Dwarf
8.74,0.33,1.23,1.185,K0III,11.332569,Dwarf
8.84,3.16,0.88,1.044,G8/K0III,16.338436,Dwarf
9.36,2.39,1.34,0.358,F3IV-V,16.25199,Gaint
6.84,7.35,0.85,0.925,G8II,16.171436,Dwarf
9.65,0.29,1.5,1.72,K7V,11.961989,Gaint
8.23,3.86,1.13,1.12,K0III,16.162937,Dwarf
9.75,2.96,1.56,0.735,F8V,17.106459,Gaint
9.46,0.08,1.1,0.2,A6V,8.9754505,Gaint
7.28,5.6,0.71,0.991,G9III,16.02094,Dwarf
9.1,1.1,0.79,1.227,K2III,14.306964,Dwarf
8.21,0.12,0.7,-0.04,B8II,8.6059065,Dwarf
9.03,5,1.33,0.652,G2/G3V,17.524849,Gaint
4.92,3.33,0.8,-0.128,B5III,12.532221,Dwarf
8.37,7.79,1.08,1.011,K1III+...,17.827686,Dwarf
7.08,4.99,0.61,1.351,K4III,15.570503,Dwarf
4.86,8.67,0.46,1.562,M2.5III,14.550095,Dwarf
5.08,54.26,0.74,0.619,G2V,18.7524,Gaint
9.09,18.57,0.75,0.702,G8V,20.43406,Gaint
7.64,5.61,0.65,0.355,F0IV,16.384813,Gaint
7.04,3.66,0.89,1.447,K4III,14.857406,Dwarf
9.41,3.3,1.02,0.143,A1/A2V,17.00257,Gaint
9.28,3.46,0.89,0.504,F2III,16.97538,Dwarf
5.25,17.86,0.75,0.336,F2III,16.509407,Dwarf
8.15,2.52,0.91,0.978,G8III,15.157002,Dwarf
9.5,11.27,1.17,0.62,G2V,19.75962,Gaint
8.26,-0.31,1.01,1.335,K3III,10.716808,Dwarf
3.85,24.77,0.69,0.049,A2V,15.819632,Gaint
7.9,0.68,0.65,-0.034,B8/B9V,12.062545,Gaint
5.05,7.48,0.57,0.997,G8III,14.419508,Dwarf
7.97,3.85,1.07,1.293,K3III,15.897304,Dwarf
9.11,10.79,1.8,0.553,F8V,19.275108,Gaint
10.08,3.15,1.58,0.421,F5V,17.571552,Gaint
8.58,1.47,1.04,1.38,K3V,14.416587,Gaint
6.3,7.39,0.65,0.991,K0III,15.643223,Dwarf
7.6,32.32,0.9,0.689,G6IV,20.147358,Gaint
9.14,10.8,1.19,0.612,G1V,19.307121,Gaint
7.17,21.28,0.58,0.519,F6V,18.809858,Gaint
8.32,3.11,1.05,1.238,K1III,15.783802,Dwarf
8.79,0.85,0.79,1.321,K1III,13.437095,Dwarf
9.67,4.1,1.57,0.422,F2V,17.73392,Gaint
8.16,7.09,0.78,0.852,G6IV/V,17.41323,Gaint
7.97,2.36,0.87,-0.026,B9V,14.834559,Gaint
8.67,7.59,1.31,0.441,F3V,18.071209,Gaint
6.59,0.27,0.92,1.07,G1Ib,8.746819,Dwarf
7.77,0.71,0.94,1.639,K5III,12.026292,Dwarf
3.77,2.84,0.91,-0.19,O9.5V...,11.0365925,Gaint
8.74,44.97,1.15,1.075,K3/K4V,22.004614,Gaint
9.18,11.28,1.38,0.577,F7V,19.441545,Gaint
4.91,15.45,0.78,1.02,K0III,15.854643,Dwarf
8.69,4.98,1.08,0.453,F3V,17.176147,Gaint
7.95,9.31,1.17,0.947,G8IV,17.794748,Gaint
7.39,2.72,0.99,1.795,M2III,14.562844,Dwarf
8.38,6.98,1.19,1.346,K1III,17.599277,Dwarf
9.3,3.37,1.57,1.312,G8II,16.938148,Dwarf
6.9,8.98,0.55,1.027,K2III,16.666382,Dwarf
8.84,4.9,1.19,0.572,F6V,17.290981,Gaint
7.39,3.85,1.02,1.166,K0III,15.317304,Dwarf
6.37,1.42,0.77,1.918,M0Iab-Ib SB,12.131441,Dwarf
8.02,5.04,0.73,0.093,A0V,16.532154,Gaint
8.56,1.62,0.93,1.197,K1/K2IV/V,14.607575,Gaint
8.89,15.05,1.07,0.62,G3V,19.777683,Gaint
4.3,18.53,1.75,-0.053,B9III,15.639378,Dwarf
8.97,3.56,1.09,0.894,G8IV,16.72725,Gaint
6.96,1.52,1.4,1.644,M0III,12.869218,Dwarf
8.91,9.87,2.56,0.418,F3V,18.881586,Gaint
7.07,4.03,1.19,0.336,F2III/IV,15.096525,Gaint
8.46,2.54,1.21,0.986,K0III,15.484169,Dwarf
4.59,18.34,0.56,1.191,K2IIICN...,15.906997,Dwarf
8.23,16.58,1.07,0.626,G5V,19.327923,Gaint
8.56,10.91,1.31,0.642,G2Vws,18.749123,Gaint
8.47,8.44,0.99,0.552,G0V,18.101711,Gaint
8.85,2.22,1.43,1.351,K3/K4III,15.581766,Dwarf
7.68,7.13,0.64,1.103,K2III,16.945448,Dwarf
3.62,2.35,0.55,1.706,K4III,10.47534,Dwarf
8.07,4.22,1.01,1.011,G8/K0III,16.196562,Dwarf
8.34,9.37,0.74,0.636,G3V,18.198698,Gaint
11.69,7.25,2.41,1.192,K2III,20.99169,Dwarf
7.34,9.39,0.55,0.275,A5IV,17.203327,Gaint
7.52,0.39,0.9,1.529,K2III,10.475323,Dwarf
7.96,2.86,1.11,-0.073,B5III,15.241831,Dwarf
6.16,5.63,0.54,0.037,A2IV,14.912542,Gaint
8.29,19.05,1.12,0.672,G3/G5V,19.689474,Gaint
7.78,17.83,0.91,0.65,G1V,19.035757,Gaint
7.13,4.87,0.93,0.952,G8III/IV,15.567645,Gaint
8.59,2.07,0.71,1.664,K5/M0III:,15.169851,Dwarf
9.23,15.02,1.67,0.584,G3V,20.11335,Gaint
7.66,2.7,0.87,0.985,K0III,14.816819,Dwarf
4.65,21.39,1.24,0.255,A8V,16.301054,Gaint
7.89,2.74,1.06,-0.05,B8V,15.0787525,Gaint
8.28,1.87,0.94,0.78,F5Iab,14.639208,Dwarf
7.5,3.25,0.79,0.948,G8/K0III+..,15.059417,Dwarf
9.52,5.23,0.99,0.456,F6/F7Vw...,18.112509,Gaint
8.49,12.69,2.86,0.607,G1/G2V,19.007309,Gaint
9.44,4.49,1.51,0.533,F7V,17.701231,Gaint
8.27,2.5,1.13,1.28,G8III,15.259701,Dwarf
7.64,0.71,0.72,1.348,K1II-III,11.896292,Dwarf
9.09,5.75,1.22,0.379,F3V,17.88834,Gaint
9.2,2.41,0.86,0.04,A1V,16.110085,Gaint
7.05,-0.02,1.01,1.289,G3Ib,3.5551498,Dwarf
7.44,3.47,0.94,1.304,K2III,15.141647,Dwarf
7.61,1.33,0.98,1.514,K4III,13.229259,Dwarf
9.69,7.74,1.67,0.759,G8V,19.133705,Gaint
7.81,2.28,0.59,-0.019,B9.5II,14.599674,Dwarf
5.9,2.33,0.8,1.662,M2III,12.73678,Dwarf
8.01,1.85,1.03,1.568,K5III,14.34586,Dwarf
7.5,4.78,1.46,0.86,G6III/IV,15.89714,Gaint
7.35,-0.41,1.16,-0.164,B2III,10.413919,Dwarf
